,substructure,pattern
1,"amine, primary",[C][NX3;H2;!$(NC=O)]([H])[H]
2,"amine, secondary",[C][NX3;H;!$(NC=O)]([C])[H]
3,"amine, tertiary",[C][NX3;H0;!$(NC=O);!$(N=O)]([C])[C]
4,alkane CH,[CX4][H]
5,alkene CH,[CX3;$(C=C)][H]
6,aromatic CH,[c][H]
7,carbonyl,"[#6,#1][CX3](=O)[#6,#1]"
8,hydroxyl (alkyl),[C;!$(C=O)][OX2H][H]
9,carboxylic acid,[CX3](=O)[OX2H][H]
10,"ester, all","[CX3H1,CX3](=O)[OX2H0][#6]"
12,ether,[OD2]([C;!R;!$(C=O)])[C;!R;!$(C=O)]
13,peroxide,"[#6][OD2][OD2,OD1][#6]"
14,nitro,"[#6][$([NX3](=O)=O),$([NX3+](=O)[O-])](~[O])(~[O])"
15,aromatic hydroxyl,[c;!$(C=O)][OX2H][H]
16,hydroperoxide,"[#6;!$(C=O)][OD2][OX2H,OD1][#1]"
17,amide,"[CX3](=O)[NX3;!$(N=O)]([#6,#1])[#6,#1]"
18,nitrate,"[#6][O][NX3;$([NX3](=[OX1])(=[OX1])O),$([NX3+]([OX1-])(=[OX1])O)](~[O])(~[O])"
19,organosulfate,"[#6][O][SX4;$([SX4](=O)(=O)(O)O),$([SX4+2]([O-])([O-])(O)O)](~[O])(~[O])(~[O])"
20,carbonylperoxynitrate,[C](=O)OO[N](~O)~[O]
21,ketone,[CX3;$(C([#6])(=[O])[#6])](=[O;!$([O][O])])
22,aldehyde,"[CX3;$(C([#6,#1])(=[O])[#6,#1])]([#6,#1])(=[O;!$([O][O])])[H]"
23,"amide, primary",[CX3;$(C(=[O])[NX3;!$(N=O)])](=[O])[N]([#1])[#1]
24,"amide, secondary",[CX3;$(C(=[O])[NX3;!$(N=O)]([#6])[#1])](=[O])[N][#1]
25,"amide, tertiary",[CX3;$(C(=[O])[NX3;!$(N=O)]([#6])[#6])](=[O])[N]
26,carbonylperoxyacid,C(=O)O[O][H]
27,peroxy nitrate,[#6][O;!$(OOC(=O))][O;!$(OOC(=O))][N](~O)~[O]
28,carbon number,[#6]
29,"ether, aromatic","c~[O,o]~[c,C&!$(C=O)]"
30,ether (alicyclic),[OD2;R]([C;!$(C=O);R])[C;!$(C=O);R]
31,"amine, aromatic",[N;!$(NC=O);!$(N=O);$(Na)]
32,nitroester,"[#6][OX2H0][CX3,CX3H1](=O)[C;$(C[N](~[O])~[O]),$(CC[N](~[O])~[O]),$(CCC[N](~[O])~[O]),$(CCCC[N](~[O])~[O]),$(CCCCC[N](~[O])~[O])]"
34,C=C-C=O in non-aromatic ring,[$(C=CC=O);A;R]
35,C=C (non-aromatic),C=C
38,nC-OHside-a,"[C;$(C[NX3][CH,CC](=O)),$(CC[NX3][CH,CC](=O)),$(CCC[NX3][CH,CC](=O)),$(CCCC[NX3][CH,CC](=O)),$(CCCCC[NX3][CH,CC](=O))]"
